,cluster_label,host_since_low,host_acceptance_rate_low,host_response_rate_low,review_scores_value_low,review_scores_cleanliness_low,review_scores_accuracy_low,review_scores_communication_low,review_scores_rating_low,review_scores_location_low,review_scores_checkin_low,num_nearby_attractions_low,maximum_nights_low,beds_low,accommodates_low,num_crimes_low,host_response_time_low,availability_30_low,price_low,minimum_nights_low,num_bookings_low,host_is_superhost_low,host_has_profile_pic_low,host_identity_verified_low,instant_bookable_low,room_type_low,host_since_high,host_acceptance_rate_high,host_response_rate_high,review_scores_value_high,review_scores_cleanliness_high,review_scores_accuracy_high,review_scores_communication_high,review_scores_rating_high,review_scores_location_high,review_scores_checkin_high,num_nearby_attractions_high,maximum_nights_high,beds_high,accommodates_high,num_crimes_high,host_response_time_high,availability_30_high,price_high,minimum_nights_high,num_bookings_high,host_is_superhost_high,host_has_profile_pic_high,host_identity_verified_high,instant_bookable_high,room_type_high
0,0,89.10271903323263,0.6814803625377643,0.6901208459214502,4.711163141993958,4.725906344410876,4.785966767371602,4.848836858006043,4.778308157099698,4.799441087613293,4.839380664652568,2.903323262839879,474.285498489426,2.0574018126888216,3.7492447129909365,2873.6722054380666,6.093655589123867,10.481873111782477,191.95166163141994,17.835347432024168,6.445619335347432,0.0,1.0,1.0,0.0,1.0,98.71230769230769,0.8394461538461538,0.8535692307692309,4.797030769230769,4.826923076923077,4.872953846153846,4.9193999999999996,4.84943076923077,4.842476923076923,4.907907692307693,2.835384615384615,454.5246153846154,1.996923076923077,3.5784615384615384,3126.806153846154,3.3415384615384616,9.486153846153845,170.81384615384616,12.573846153846153,105.36153846153846,1.0,1.0,1.0,0.0,1.0
1,1,97.63883089770354,0.7091858037578288,0.7765762004175366,4.57544885177453,4.679300626304802,4.757912317327766,4.806450939457203,4.741106471816283,4.852442588726513,4.841732776617953,5.934237995824635,626.2964509394573,1.9509394572025052,3.4248434237995826,4752.394572025052,5.32776617954071,13.887265135699373,226.98538622129436,26.316283924843425,4.441544885177453,0.0,1.0,1.0,0.0,1.0,98.12049549549549,0.8214752252252252,0.8517117117117117,4.690011261261262,4.772128378378378,4.832466216216217,4.887173423423424,4.801081081081081,4.888975225225225,4.867218468468469,6.801801801801802,545.490990990991,1.8783783783783783,3.356981981981982,4464.6925675675675,3.4121621621621623,12.961711711711711,210.76463963963963,16.46509009009009,78.89076576576576,1.0,1.0,1.0,0.0,1.0
2,2,84.81395348837209,0.6447906976744185,0.6607441860465116,4.694883720930233,4.74446511627907,4.799441860465117,4.867720930232558,4.772325581395348,4.901581395348838,4.877627906976745,4.269767441860465,546.9860465116279,2.144186046511628,3.7162790697674417,30.35348837209302,4.9906976744186045,8.841860465116278,253.25116279069766,17.13953488372093,5.297674418604651,0.0,1.0,1.0,0.0,1.0,93.14354066985646,0.834354066985646,0.8561244019138756,4.8052631578947365,4.854066985645933,4.882822966507177,4.920047846889952,4.861483253588517,4.917320574162679,4.928373205741628,4.8086124401913874,537.2727272727273,2.0047846889952154,3.507177033492823,28.822966507177032,3.311004784688995,11.68421052631579,273.86602870813397,8.947368421052632,90.60287081339713,1.0,1.0,1.0,0.0,1.0
3,3,64.38720538720538,0.7584343434343435,0.7777441077441077,4.621683501683502,4.628821548821549,4.711144781144781,4.756582491582491,4.668030303030304,4.735740740740741,4.801952861952861,1.0656565656565657,430.25252525252523,2.1026936026936025,3.8484848484848486,0.0,3.3855218855218854,13.905723905723907,140.6026936026936,8.505050505050505,5.383838383838384,0.0,1.0,1.0,0.0,1.0,71.64948453608247,0.8626116838487973,0.874020618556701,4.76245704467354,4.75225085910653,4.83053264604811,4.881855670103093,4.782027491408935,4.784003436426117,4.896546391752577,1.458762886597938,444.0481099656357,2.1512027491408934,3.902061855670103,0.0,1.965635738831615,11.0893470790378,126.5360824742268,4.20446735395189,70.63573883161511,1.0,1.0,1.0,0.0,1.0
4,4,65.02118644067797,0.7527966101694916,0.7879661016949152,4.635,4.658601694915253,4.694830508474577,4.724152542372882,4.6719067796610165,4.666313559322034,4.7369491525423735,0.6016949152542372,454.8474576271187,1.9745762711864407,3.444915254237288,0.0,3.9788135593220337,15.34322033898305,115.73728813559322,5.0,5.737288135593221,0.0,1.0,1.0,0.0,2.0,74.09502262443439,0.8984162895927602,0.9176923076923077,4.8527601809954755,4.846108597285068,4.893122171945701,4.927918552036199,4.873438914027149,4.844434389140272,4.9299095022624435,0.6244343891402715,584.316742081448,2.1447963800904977,3.819004524886878,0.0,2.4434389140271495,12.266968325791856,96.71945701357465,2.723981900452489,66.32579185520362,1.0,1.0,1.0,0.0,2.0
5,5,71.86059190031153,0.6906308411214953,0.7369548286604362,4.341510903426792,4.407967289719626,4.4710981308411215,4.561448598130841,4.4352492211838,4.632250778816199,4.580194704049845,3.9174454828660434,490.75545171339564,2.278816199376947,4.288940809968848,5001.569314641744,4.707165109034268,16.37538940809969,298.50233644859816,18.32632398753894,2.7718068535825546,0.0,1.0,1.0,0.0,1.0,92.97867104183757,0.7764889253486464,0.8127153404429861,4.721730926989336,4.759138638228055,4.813191140278918,4.8739622641509435,4.793010664479081,4.876611977030353,4.884971287940936,4.365053322395406,565.2739950779327,2.3207547169811322,4.270713699753896,5181.583264971288,4.566858080393765,15.124692370795735,302.2502050861362,17.405250205086137,60.44134536505332,0.0,1.0,1.0,0.0,1.0
6,6,87.89821882951654,0.6414758269720101,0.6442493638676845,4.699745547073792,4.7497455470737915,4.791908396946565,4.831374045801526,4.771323155216285,4.830407124681933,4.8452417302798985,0.7684478371501272,531.2086513994911,2.5623409669211195,4.66412213740458,7552.096692111959,4.552162849872774,13.099236641221374,291.64631043257,24.31297709923664,3.969465648854962,0.0,1.0,1.0,0.0,1.0,95.42705570291777,0.7754907161803714,0.8019363395225464,4.7886472148541115,4.827931034482759,4.882228116710876,4.924588859416446,4.855994694960212,4.855119363395226,4.935968169761273,0.7798408488063661,509.7931034482759,2.8116710875331563,5.119363395225464,7317.222811671088,4.122015915119364,12.790450928381963,259.39522546419096,16.70557029177719,84.46949602122015,1.0,1.0,1.0,0.0,1.0
7,7,82.12534818941504,0.7583704735376045,0.7638440111420612,4.695278551532033,4.755194986072423,4.79690807799443,4.859568245125348,4.773259052924791,4.7556685236768805,4.8561420612813375,6.171309192200557,515.2924791086351,2.135097493036212,3.881615598885794,15.442896935933147,3.4206128133704734,12.739554317548746,182.42200557103064,17.206128133704734,8.486072423398328,0.0,1.0,1.0,0.0,1.0,91.28169014084507,0.887,0.8683239436619719,4.756507042253521,4.815295774647887,4.853661971830986,4.905450704225352,4.8111126760563385,4.799084507042254,4.900366197183099,5.785915492957747,499.68591549295775,2.249295774647887,4.119718309859155,13.83380281690141,2.563380281690141,13.098591549295774,176.58732394366197,9.592957746478874,115.47887323943662,1.0,1.0,1.0,0.0,1.0
8,8,81.9221183800623,0.7294080996884736,0.7105919003115265,4.612461059190031,4.686168224299065,4.741806853582554,4.800934579439252,4.729750778816199,4.788971962616823,4.834984423676012,0.7383177570093458,529.7196261682243,2.554517133956386,4.638629283489097,6867.570093457944,5.049844236760125,14.785046728971963,229.99688473520249,22.233644859813083,3.9501557632398754,0.0,1.0,1.0,0.0,1.0,84.35202492211837,0.8502492211838006,0.8334890965732088,4.769657320872274,4.805358255451713,4.840996884735203,4.901401869158878,4.828037383177571,4.860809968847352,4.9137383177570095,0.7320872274143302,553.4517133956386,2.554517133956386,4.638629283489097,6772.1651090342675,4.006230529595015,14.510903426791277,215.85358255451715,14.22741433021807,60.73831775700935,1.0,1.0,1.0,0.0,1.0
9,9,58.549549549549546,0.9485585585585585,0.9315315315315315,4.254144144144144,4.439729729729729,4.5292792792792795,4.518648648648648,4.495045045045045,4.867567567567567,4.673963963963963,14.333333333333334,191.9189189189189,3.7477477477477477,6.243243243243243,232.97297297297297,4.828828828828829,21.25225225225225,431.6306306306306,3.0,6.27027027027027,0.0,1.0,1.0,1.0,1.0,71.9090909090909,0.9662727272727273,0.9524545454545454,4.563636363636364,4.6525454545454545,4.736909090909091,4.755545454545454,4.7197272727272725,4.893454545454547,4.830181818181818,14.645454545454545,427.8454545454546,3.036363636363636,5.4363636363636365,109.7090909090909,3.3,17.509090909090908,367.55454545454546,1.7363636363636363,86.4,0.0,1.0,1.0,1.0,1.0
